P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_rate,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,recipe,epoch,threshold,embedding,label,embedding_mtime_ns,method,p1_nonregress,p2_nonregress,p3_nonregress,p4_nonregress,ari_nonregress,sil_nonregress,primary_gate,core_gate
0.9062,29,32,1.0,0.0,0.8624,0.9067,0.7326,0.876,0.3405469059944153,53,32,13,1.65625,unkda_nv050_blend084,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend084_ep6.npy,NV 0.50 blend084,1783909274210675200,finch_p2,False,True,True,True,True,True,,False
1.0,32,32,1.0,0.0,0.8985,0.9266,0.8231,0.907,0.4329833984375,48,32,11,1.5,unkda_nv050_blend084,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend084_ep6.npy,NV 0.50 blend084,1783909274210675200,louvain_res6,True,True,True,True,True,True,,True
0.9375,30,32,1.0,0.0,0.8588,0.9024,0.739,0.8718,0.34785228967666626,51,32,11,1.59375,unkda_nv050_blend086,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend086_ep6.npy,NV 0.50 blend086,1783909274258883700,finch_p2,True,True,True,True,True,True,,True
0.9688,31,32,1.0,0.0,0.901,0.9239,0.831,0.9071,0.42912757396698,47,32,11,1.46875,unkda_nv050_blend086,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend086_ep6.npy,NV 0.50 blend086,1783909274258883700,louvain_res6,True,True,True,True,True,True,,True
0.9062,29,32,1.0,0.0,0.8671,0.8975,0.7335,0.8744,0.3557332158088684,48,32,10,1.5,unkda_nv050_blend088,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend088_ep6.npy,NV 0.50 blend088,1783909274317581200,finch_p2,False,True,True,True,True,True,,False
0.9375,30,32,1.0,0.0,0.8812,0.918,0.7899,0.8927,0.41752180457115173,51,32,13,1.59375,unkda_nv050_blend088,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend088_ep6.npy,NV 0.50 blend088,1783909274317581200,louvain_res6,False,True,True,True,True,True,,False
0.9062,29,32,1.0,0.0,0.867,0.902,0.7339,0.8767,0.3769763112068176,48,32,11,1.5,unkda_nv050_blend090,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend090_ep6.npy,NV 0.50 blend090,1783908374602525000,finch_p2,False,True,True,True,True,True,,False
0.9688,31,32,1.0,0.0,0.8791,0.9251,0.8028,0.895,0.4209764301776886,52,32,12,1.625,unkda_nv050_blend090,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend090_ep6.npy,NV 0.50 blend090,1783908374602525000,louvain_res6,True,True,True,True,True,True,,True
0.875,28,32,1.0,0.0,0.8546,0.8901,0.6911,0.8633,0.35199061036109924,49,32,12,1.53125,unkda_nv050_blend092,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend092_ep6.npy,NV 0.50 blend092,1783909274373769400,finch_p2,False,True,True,False,False,True,,False
1.0,32,32,1.0,0.0,0.8818,0.9247,0.7941,0.8964,0.4081183075904846,51,32,11,1.59375,unkda_nv050_blend092,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend092_ep6.npy,NV 0.50 blend092,1783909274373769400,louvain_res6,True,True,True,True,True,True,,True
0.9062,29,32,1.0,0.0,0.8426,0.8935,0.6879,0.8577,0.3379390835762024,54,32,12,1.6875,unkda_nv050_blend094,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend094_ep6.npy,NV 0.50 blend094,1783909274456585300,finch_p2,False,True,True,True,False,True,,False
0.9688,31,32,1.0,0.0,0.8845,0.9258,0.8024,0.8984,0.42026999592781067,49,32,11,1.53125,unkda_nv050_blend094,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend094_ep6.npy,NV 0.50 blend094,1783909274456585300,louvain_res6,True,True,True,True,True,True,,True
0.9375,30,32,1.0,0.0,0.8505,0.8997,0.6858,0.8653,0.35102617740631104,53,32,11,1.65625,unkda_nv050_blend096,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend096_ep6.npy,NV 0.50 blend096,1783909274502742400,finch_p2,True,True,True,True,False,True,,False
1.0,32,32,1.0,0.0,0.8744,0.9208,0.7954,0.8902,0.4220868945121765,50,32,11,1.5625,unkda_nv050_blend096,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend096_ep6.npy,NV 0.50 blend096,1783909274502742400,louvain_res6,True,True,True,True,True,True,,True
0.9688,31,32,1.0,0.0,0.8256,0.8951,0.6671,0.8477,0.33441099524497986,60,32,14,1.875,unkda_nv050_blend098,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend098_ep6.npy,NV 0.50 blend098,1783909274553414600,finch_p2,True,True,False,True,False,True,,False
0.9375,30,32,1.0,0.0,0.8818,0.9194,0.7904,0.8938,0.4194030165672302,48,32,10,1.5,unkda_nv050_blend098,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend098_ep6.npy,NV 0.50 blend098,1783909274553414600,louvain_res6,False,True,True,True,True,True,,False
0.875,28,32,1.0,0.0,0.7942,0.8434,0.6279,0.8045,0.3155915439128876,53,32,10,1.65625,unkda_nv060,1,0.6,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv060_ep1.npy,NV 0.60,1783676526059224100,finch_p2,False,True,False,False,False,True,False,False
0.9375,30,32,1.0,0.0,0.8311,0.882,0.7444,0.8456,0.3856532573699951,50,32,11,1.5625,unkda_nv060,1,0.6,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv060_ep1.npy,NV 0.60,1783676526059224100,louvain_res6,False,True,False,False,False,True,False,False
0.9062,29,32,1.0,0.0,0.7154,0.789,0.5004,0.7298,0.2956544160842895,58,32,11,1.8125,unkda_nv060,2,0.6,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv060_ep2.npy,NV 0.60,1783677524985651500,finch_p2,False,True,False,False,False,False,False,False
0.9375,30,32,1.0,0.0,0.7457,0.7974,0.6008,0.7537,0.3583242297172546,50,32,11,1.5625,unkda_nv060,2,0.6,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv060_ep2.npy,NV 0.60,1783677524985651500,louvain_res6,False,True,False,False,False,False,False,False
